ID : [prediction, actual]
0: [2, [4]]
1: [2, [2]]
2: [4, [3]]
3: [1, [4]]
4: [3, [3]]
5: [3, [4]]
6: [4, [3]]
7: [3, [3]]
8: [3, [3]]
9: [1, [1]]
10: [1, [4]]
11: [0, [3]]
12: [1, [2]]
13: [4, [1]]
15: [1, [2]]
16: [4, [2]]
17: [1, [4]]
18: [1, [2]]
19: [4, [2]]
23: [0, '4/243']
25: [3, [3]]
26: [3, [3]]
27: [1, [2]]
29: [4, [4]]
30: [1, [4]]
31: [1, [1]]
32: [3, [3]]
33: [2, [4]]
34: [4, [2]]
35: [2, [3]]
36: [2, [3]]
37: [1, [2]]
38: [2, [4]]
39: [3, [3]]
40: [2, [2]]
41: [1, [4]]
42: [2, [3]]
43: [2, [3]]
44: [3, [1]]
45: [4, [1]]
46: [3, [3]]
47: [1, [2]]
48: [3, [3]]
50: [2, [4]]
51: [2, [2]]
52: [3, [3]]
53: [1, [3]]
54: [1, [3]]
55: [1, [4]]
56: [3, [3]]
57: [3, [2]]
58: [3, [3]]
59: [4, [4]]
60: [4, [4]]
61: [1, [2]]
62: [4, [4]]
63: [1, [1]]
64: [2, [2]]
65: [4, [2]]
66: [2, [3]]
67: [1, [2]]
68: [4, [2]]
69: [1, [4]]
71: [1, [2]]
72: [1, [3]]
73: [1, [3]]
74: [1, [2]]
76: [3, [1]]
77: [1, [4]]
78: [1, [3]]
79: [1, [3]]
80: [2, [1]]
81: [2, [1]]
89: [1, '12']
90: [1, [4]]
91: [4, [3]]
92: [4, [4]]
93: [3, [1]]
94: [1, [3]]
95: [3, [3]]
96: [2, [2]]
97: [4, [4]]
98: [2, [4]]
99: [1, [1]]
100: [2, [2]]
101: [1, [4]]
102: [1, [3]]
103: [2, [2]]
104: [1, [3]]
105: [2, [3]]
106: [2, [3]]
107: [4, [3]]
108: [1, [2]]
109: [1, [3]]
110: [1, [2]]
112: [1, [2]]
113: [2, [2]]
114: [1, [1]]
115: [4, [2]]
116: [1, [1]]
117: [3, [2]]
119: [1, [3]]
120: [4, [4]]
121: [1, [3]]
123: [1, [1]]
124: [4, [2]]
125: [4, [4]]
126: [1, [2]]
127: [1, [2]]
128: [4, [1]]
129: [1, [3]]
130: [4, [1]]
131: [4, [3]]
132: [1, [2]]
133: [4, [4]]
134: [0, [3]]
135: [1, [1]]
136: [1, [2]]
137: [4, [1]]
138: [1, [4]]
139: [1, [2]]
142: [1, [4]]
143: [1, [3]]
144: [1, [3]]
145: [2, [3]]
146: [2, [3]]
147: [4, [4]]
148: [4, [1]]
149: [2, [2]]
150: [1, [2]]
151: [1, [1]]
152: [4, [2]]
153: [1, [1]]
154: [1, [2]]
155: [4, [3]]
156: [4, [4]]
158: [0, '43']
162: [2, '7/25']
163: [1, [1]]
164: [3, [2]]
165: [1, [3]]
166: [1, [3]]
167: [3, [4]]
168: [1, [3]]
169: [2, [1]]
170: [1, [4]]
171: [2, [4]]
172: [3, [4]]
173: [1, [3]]
174: [4, [3]]
175: [3, [3]]
